Row ID,Order ID,Order Date,Ship Date,Ship Month,Ship Mode,Customer ID,Customer Name,Gender,Segment,Contact ID,Addressline,Contact,Email,Postal Code,City,State,Country,Region,Market,Product ID,Category ID,Category,Sub Category ID,Sub-Category,Product Name,Unit Price,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,Year
11,ORD-2018-0011,20-Jan-18,28-Jan-18,January,Same Day,CUST-2018-0011,Dr. Olivia Nuraini,Male,Consumer,CO-11,Jl. K.H. Wahid Hasyim No. 913,0838-167136,purnawatijumadi@hotmail.com,91699,Kota Administrasi Jakarta Selatan,Kalimantan Tengah,Indonesia,South,APAC,PROD-0011,CAT-03,Technology,SC-08,Accessories,Accessories - Velit,222.933094,214.0157703,1,0.04,27.50315406,15.3,High,2018
12,ORD-2018-0012,06-Oct-18,08-Oct-18,October,Second Class,CUST-2018-0012,Halima Saptono,Female,Home Office,CO-12,Gg. Erlangga No. 10,0872-324643,hidayantogawati@gmail.com,25135,Cilegon,Sulawesi Tengah,Indonesia,East,US,PROD-0012,CAT-01,Furniture,SC-09,Furnishings,Furnishings - Quisquam,138.257177,525.3772727,4,0.05,84.13545455,20.94,Critical,2018
13,ORD-2019-0013,01-Oct-19,02-Oct-19,October,First Class,CUST-2019-0013,Rahmi Yolanda,Male,Corporate,CO-13,Jalan HOS. Cokroaminoto No. 11,0853-939482,kardi93@cv.or.id,40164,Ambon,Nusa Tenggara Barat,Indonesia,Central,EMEA,PROD-0013,CAT-01,Furniture,SC-02,Tables,Tables - Delectus,240.0843975,569.000022,3,0.21,97.56000439,16.24,High,2019
14,ORD-2019-0014,05-Sep-19,14-Sep-19,September,First Class,CUST-2019-0014,Elisa Handayani,Male,Home Office,CO-14,Jl. Ciumbuleuit No. 2,0879-976638,lalita82@cv.org,33158,Solok,Jawa Tengah,Indonesia,Central,APAC,PROD-0014,CAT-01,Furniture,SC-02,Tables,Tables - Ex,261.9146641,1864.832408,8,0.11,365.3264816,7.64,Critical,2019
15,ORD-2016-0015,01-Dec-16,08-Dec-16,December,Standard Class,CUST-2016-0015,Raharja Nugroho,Female,Corporate,CO-15,Jl. Rumah Sakit No. 34,0864-830429,wibowobahuwarna@cv.biz.id,30365,Batam,Kepulauan Riau,Indonesia,West,EMEA,PROD-0015,CAT-01,Furniture,SC-07,Bookcases,Bookcases - Laudantium,156.6910438,111.2506411,1,0.29,-16.40987179,38.66,High,2016
16,ORD-2016-0016,06-Sep-16,16-Sep-16,September,Same Day,CUST-2016-0016,dr. Mustika Nasyiah,Male,Consumer,CO-16,Jl. Pasirkoja No. 940,0875-184002,usitumorang@pd.go.id,40608,Mataram,Sulawesi Selatan,Indonesia,East,APAC,PROD-0016,CAT-03,Technology,SC-10,Phones,Phones - Atque,237.6977844,760.6329101,4,0.2,121.486582,30.64,High,2016
17,ORD-2020-0017,14-Sep-20,16-Sep-20,September,Same Day,CUST-2020-0017,Sarah Sihotang,Female,Corporate,CO-17,Gang Otto Iskandardinata No. 56,0836-802258,harjoandriani@hotmail.com,29946,Langsa,Lampung,Indonesia,South,EMEA,PROD-0017,CAT-02,Office Supplies,SC-06,Envelopes,Envelopes - Eos,242.4638543,933.4858391,5,0.23,139.5871678,47.11,High,2020
18,ORD-2019-0018,16-Jun-19,26-Jun-19,June,First Class,CUST-2019-0018,"Drs. Luluh Yolanda, S.Psi",Male,Home Office,CO-18,Gang Tebet Barat Dalam No. 872,0837-630458,diah95@cv.biz.id,32003,Singkawang,DI Yogyakarta,Indonesia,South,EMEA,PROD-0018,CAT-02,Office Supplies,SC-11,Binders,Binders - Odit,80.29094984,414.3013012,6,0.14,53.42026023,29.44,Low,2019
19,ORD-2020-0019,09-Jun-20,18-Jun-20,June,First Class,CUST-2020-0019,"Kamal Nababan, S.Sos",Female,Home Office,CO-19,Jalan Ir. H. Djuanda No. 0,0823-240814,lprasetya@pt.my.id,78895,Singkawang,Sumatera Selatan,Indonesia,South,APAC,PROD-0019,CAT-01,Furniture,SC-02,Tables,Tables - Nobis,71.7802739,638.8444378,10,0.11,91.82888755,35.94,Low,2020
20,ORD-2020-0020,18-Nov-20,26-Nov-20,November,Standard Class,CUST-2020-0020,drg. Usman Manullang,Male,Consumer,CO-20,Gang Pacuan Kuda No. 4,0891-544151,kuntharafarida@gmail.com,34558,Bogor,Jawa Tengah,Indonesia,South,APAC,PROD-0020,CAT-01,Furniture,SC-07,Bookcases,Bookcases - Eveniet,448.7478184,2064.239965,5,0.08,376.0879929,36.76,High,2020
21,ORD-2016-0021,28-May-16,30-May-16,May,Second Class,CUST-2016-0021,"Eva Prabowo, S.Pt",Male,Corporate,CO-21,Gang R.E Martadinata No. 60,0884-679364,xwibisono@perum.net.id,54668,Pasuruan,Kalimantan Timur,Indonesia,East,US,PROD-0021,CAT-01,Furniture,SC-01,Chairs,Chairs - Fugit,293.5876263,161.4731944,1,0.45,16.06463889,16.23,High,2016
22,ORD-2018-0022,19-Jun-18,28-Jun-18,June,Same Day,CUST-2018-0022,Ana Wibisono,Male,Consumer,CO-22,Jalan Rawamangun No. 980,0830-938742,hutasoitsyahrini@yahoo.com,72046,Jambi,Sulawesi Tenggara,Indonesia,East,US,PROD-0022,CAT-01,Furniture,SC-02,Tables,Tables - Itaque,80.72607144,295.4574215,6,0.39,23.94148429,35.15,Medium,2018
23,ORD-2018-0023,12-May-18,15-May-18,May,First Class,CUST-2018-0023,"dr. Estiawan Andriani, S.T.",Female,Consumer,CO-23,Jalan R.E Martadinata No. 531,0870-333238,prayogaheru@perum.id,71937,Yogyakarta,Papua,Indonesia,East,US,PROD-0023,CAT-02,Office Supplies,SC-04,Art,Art - Doloremque,145.953441,519.59425,4,0.11,80.98885,22.93,Low,2018
24,ORD-2016-0024,23-Aug-16,28-Aug-16,August,Standard Class,CUST-2016-0024,Puti Victoria Marpaung,Female,Home Office,CO-24,Jl. Rajawali Timur No. 6,0878-447235,cakrawangsarahayu@hotmail.com,14919,Malang,Sulawesi Selatan,Indonesia,Central,APAC,PROD-0024,CAT-02,Office Supplies,SC-12,Paper,Paper - Ut,465.1575574,2279.272031,5,0.02,435.2944063,20.56,Low,2016
25,ORD-2019-0025,24-May-19,03-Jun-19,June,First Class,CUST-2019-0025,Jono Yuliarti,Female,Home Office,CO-25,Gg. Rajiman No. 657,0834-367095,unugroho@perum.my.id,94531,Palopo,Kalimantan Utara,Indonesia,Central,US,PROD-0025,CAT-01,Furniture,SC-02,Tables,Tables - Officiis,349.6037736,370.58,2,0.47,41.076,33.04,High,2019
26,ORD-2018-0026,10-Aug-18,19-Aug-18,August,Standard Class,CUST-2018-0026,Hj. Kezia Sirait,Female,Corporate,CO-26,Gang K.H. Wahid Hasyim No. 35,0861-831076,kurnia94@hotmail.com,83136,Sabang,Kalimantan Utara,Indonesia,South,EMEA,PROD-0026,CAT-01,Furniture,SC-09,Furnishings,Furnishings - Voluptas,94.53381511,436.7462258,7,0.34,54.64924516,32.7,Low,2018
27,ORD-2019-0027,04-Jul-19,13-Jul-19,July,First Class,CUST-2019-0027,"Narji Lestari, M.M.",Female,Corporate,CO-27,Gg. Merdeka No. 34,0836-550770,hpuspasari@yahoo.com,85574,Kota Administrasi Jakarta Pusat,Kalimantan Timur,Indonesia,South,US,PROD-0027,CAT-02,Office Supplies,SC-06,Envelopes,Envelopes - Cumque,229.1423998,1567.334015,9,0.24,272.646803,40.82,Medium,2019
28,ORD-2016-0028,07-Oct-16,12-Oct-16,October,Standard Class,CUST-2016-0028,Galih Lazuardi,Male,Consumer,CO-28,Jl. Ronggowarsito No. 98,0896-425498,nababanlega@gmail.com,24082,Banjar,Bengkulu,Indonesia,East,EMEA,PROD-0028,CAT-01,Furniture,SC-01,Chairs,Chairs - Quod,43.02234631,237.4833516,8,0.31,22.00667033,25.49,Medium,2016
29,ORD-2019-0029,24-Apr-19,02-May-19,May,Same Day,CUST-2019-0029,"Dian Uyainah, M.Kom.",Male,Consumer,CO-29,Gg. Waringin No. 75,0893-821024,ramadanyahya@pt.net.id,90229,Bau-Bau,Kalimantan Utara,Indonesia,Central,APAC,PROD-0029,CAT-02,Office Supplies,SC-12,Paper,Paper - Cumque,80.96234273,561.0690351,9,0.23,65.92380702,46.29,High,2019
30,ORD-2019-0030,05-Aug-19,08-Aug-19,August,Same Day,CUST-2019-0030,"dr. Luluh Riyanti, M.Ak",Female,Corporate,CO-30,Gang Cempaka No. 96,0888-954596,suryatmidalimin@gmail.com,41232,Cilegon,Aceh,Indonesia,West,US,PROD-0030,CAT-01,Furniture,SC-09,Furnishings,Furnishings - Nemo,125.9947996,292.307935,4,0.42,18.461587,40,Critical,2019
31,ORD-2017-0031,24-Jun-17,29-Jun-17,June,Same Day,CUST-2017-0031,"Rina Halimah, S.Pd",Male,Home Office,CO-31,Gg. Peta No. 7,0846-345884,karsanautami@pd.id,42102,Serang,Lampung,Indonesia,South,LATAM,PROD-0031,CAT-02,Office Supplies,SC-11,Binders,Binders - Nulla,106.2565615,344.2712594,4,0.19,54.22425187,14.63,Critical,2017
32,ORD-2019-0032,18-Feb-19,24-Feb-19,February,Same Day,CUST-2019-0032,Shakila Sihombing,Female,Consumer,CO-32,Gang Cempaka No. 906,0836-973349,aslijan13@hotmail.com,49027,Kota Administrasi Jakarta Utara,Kalimantan Barat,Indonesia,West,US,PROD-0032,CAT-03,Technology,SC-10,Phones,Phones - Reprehenderit,144.8133489,1172.988126,10,0.19,213.7676252,20.83,Critical,2019
33,ORD-2019-0033,19-Jun-19,28-Jun-19,June,Second Class,CUST-2019-0033,"Rahmat Lestari, S.Pt",Female,Consumer,CO-33,Gang Rumah Sakit No. 12,0844-557007,slailasari@hotmail.com,80715,Madiun,Jambi,Indonesia,West,APAC,PROD-0033,CAT-02,Office Supplies,SC-04,Art,Art - Necessitatibus,302.6086733,1355.686857,7,0.36,224.7573713,46.38,High,2019
34,ORD-2019-0034,02-Dec-19,12-Dec-19,December,First Class,CUST-2019-0034,Dt. Maryadi Namaga,Male,Home Office,CO-34,Jalan Kebonjati No. 5,0864-242291,nhabibi@yahoo.com,47710,Tarakan,Jawa Timur,Indonesia,West,EMEA,PROD-0034,CAT-01,Furniture,SC-07,Bookcases,Bookcases - Ipsa,86.45962346,266.2956402,4,0.23,8.679128049,44.58,Low,2019
35,ORD-2019-0035,02-Aug-19,07-Aug-19,August,First Class,CUST-2019-0035,Kusuma Wasita,Female,Consumer,CO-35,Jl. Rawamangun No. 274,0879-154615,elaksmiwati@gmail.com,82639,Batam,Kepulauan Riau,Indonesia,South,EMEA,PROD-0035,CAT-03,Technology,SC-10,Phones,Phones - Nesciunt,656.2250241,406.8595149,1,0.38,67.40190299,13.97,High,2019
36,ORD-2020-0036,11-May-20,14-May-20,May,Second Class,CUST-2020-0036,"Dr. Emas Adriansyah, S.Pd",Male,Corporate,CO-36,Jalan Cihampelas No. 7,0895-219946,indah86@yahoo.com,33963,Banjar,Maluku Utara,Indonesia,East,US,PROD-0036,CAT-03,Technology,SC-03,Copiers,Copiers - Pariatur,247.2154478,519.1524405,3,0.3,66.5004881,37.33,Medium,2020
37,ORD-2018-0037,01-Oct-18,03-Oct-18,October,First Class,CUST-2018-0037,"dr. Harsana Wijayanti, S.E.I",Female,Home Office,CO-37,Jl. S. Parman No. 5,0896-493537,hjanuar@pt.net,45961,Tangerang,Papua Barat,Indonesia,West,EMEA,PROD-0037,CAT-01,Furniture,SC-02,Tables,Tables - Ipsum,53.46513158,152.375625,5,0.43,20.025125,10.45,High,2018
38,ORD-2018-0038,01-Sep-18,10-Sep-18,September,Same Day,CUST-2018-0038,"Vanya Laksita, M.Pd",Female,Consumer,CO-38,Jl. Medokan Ayu No. 4,0874-778998,fujiatidaliman@pd.biz.id,5045,Palangkaraya,Jawa Tengah,Indonesia,South,APAC,PROD-0038,CAT-02,Office Supplies,SC-06,Envelopes,Envelopes - Exercitationem,58.8959223,240.295363,6,0.32,11.2290726,36.83,Critical,2018
39,ORD-2017-0039,26-Jul-17,04-Aug-17,August,Standard Class,CUST-2017-0039,Padmi Zulaika,Female,Corporate,CO-39,Jl. Ciwastra No. 6,0865-965845,jpadmasari@pd.my.id,7482,Palembang,Nusa Tenggara Timur,Indonesia,South,LATAM,PROD-0039,CAT-01,Furniture,SC-01,Chairs,Chairs - Repudiandae,115.3568371,812.1121333,8,0.12,129.9624267,32.46,Critical,2017
40,ORD-2018-0040,27-Apr-18,28-Apr-18,April,Same Day,CUST-2018-0040,"Yono Anggraini, S.T.",Female,Consumer,CO-40,Jalan Sukajadi No. 13,0872-322423,kartika44@gmail.com,40909,Kotamobagu,Kalimantan Timur,Indonesia,South,LATAM,PROD-0040,CAT-02,Office Supplies,SC-04,Art,Art - Sequi,178.7642702,643.5513726,5,0.28,115.1102745,13.6,Medium,2018
41,ORD-2019-0041,08-Nov-19,16-Nov-19,November,Second Class,CUST-2019-0041,Gawati Usada,Female,Home Office,CO-41,Jalan Medokan Ayu No. 047,0872-569945,eluh14@pd.edu,88424,Kupang,Nusa Tenggara Barat,Indonesia,Central,APAC,PROD-0041,CAT-02,Office Supplies,SC-12,Paper,Paper - Cum,115.3326023,392.1308477,4,0.15,52.12616953,26.3,Low,2019
42,ORD-2019-0042,01-Jul-19,10-Jul-19,July,Standard Class,CUST-2019-0042,Caket Prasetyo,Female,Home Office,CO-42,Jalan Suniaraja No. 481,0868-384076,vanya49@yahoo.com,13709,Singkawang,Kalimantan Timur,Indonesia,South,LATAM,PROD-0042,CAT-01,Furniture,SC-01,Chairs,Chairs - Tenetur,336.3755122,1897.157889,6,0.06,340.1315778,39.3,Medium,2019
43,ORD-2017-0043,25-Jan-17,29-Jan-17,January,Same Day,CUST-2017-0043,"Ridwan Hariyah, S.Pd",Female,Home Office,CO-43,Jl. Cihampelas No. 471,0885-897135,gawatimansur@pd.sch.id,61796,Bandung,Papua,Indonesia,South,APAC,PROD-0043,CAT-01,Furniture,SC-07,Bookcases,Bookcases - Esse,120.2776156,306.7079199,3,0.15,50.64158397,10.7,High,2017
44,ORD-2016-0044,21-Jun-16,30-Jun-16,June,Standard Class,CUST-2016-0044,Gilda Tarihoran,Male,Home Office,CO-44,Gang Cikutra Barat No. 43,0872-207570,qiswahyudi@perum.co.id,29318,Semarang,Kalimantan Tengah,Indonesia,Central,LATAM,PROD-0044,CAT-02,Office Supplies,SC-06,Envelopes,Envelopes - Eveniet,285.9358974,446.06,3,0.48,45.432,43.78,High,2016
45,ORD-2016-0045,07-May-16,14-May-16,May,Same Day,CUST-2016-0045,"R.M. Pandu Riyanti, S.Ked",Male,Home Office,CO-45,Jl. R.E Martadinata No. 21,0890-819796,amongtamba@perum.gov,2681,Parepare,Sulawesi Tengah,Indonesia,Central,EMEA,PROD-0045,CAT-01,Furniture,SC-07,Bookcases,Bookcases - Magni,96.99593777,364.704726,4,0.06,40.66094521,32.28,Medium,2016
46,ORD-2020-0046,18-Jul-20,25-Jul-20,July,Same Day,CUST-2020-0046,Puti Mila Mardhiyah,Female,Corporate,CO-46,Gg. Erlangga No. 0,0885-549660,bwacana@pd.net,59212,Solok,Maluku Utara,Indonesia,South,APAC,PROD-0046,CAT-03,Technology,SC-10,Phones,Phones - Modi,225.8771563,623.4209515,4,0.31,116.0341903,8.65,Medium,2020
47,ORD-2017-0047,21-Aug-17,30-Aug-17,August,First Class,CUST-2017-0047,T. Jaeman Mayasari,Male,Consumer,CO-47,Jl. Suryakencana No. 8,0862-572387,ohartati@ud.int,65452,Batam,DKI Jakarta,Indonesia,West,LATAM,PROD-0047,CAT-01,Furniture,SC-02,Tables,Tables - Blanditiis,90.83692308,295.22,5,0.35,23.114,35.93,Low,2017
48,ORD-2020-0048,06-Feb-20,10-Feb-20,February,Same Day,CUST-2020-0048,Cinta Wahyudin,Male,Home Office,CO-48,Gg. Otto Iskandardinata No. 656,0838-779094,nadine45@perum.mil,73158,Binjai,Kepulauan Riau,Indonesia,East,LATAM,PROD-0048,CAT-01,Furniture,SC-01,Chairs,Chairs - Rem,77.67326157,271.8564155,5,0.3,7.921283102,46.45,Critical,2020
49,ORD-2016-0049,28-Mar-16,05-Apr-16,April,Standard Class,CUST-2016-0049,"dr. Surya Purwanti, M.Ak",Female,Corporate,CO-49,Jalan K.H. Wahid Hasyim No. 45,0874-666211,najmudinedison@hotmail.com,12018,Metro,Sulawesi Barat,Indonesia,West,US,PROD-0049,CAT-01,Furniture,SC-01,Chairs,Chairs - Odit,203.9577048,856.6223603,6,0.3,156.0244721,15.3,High,2016
50,ORD-2018-0050,13-May-18,23-May-18,May,First Class,CUST-2018-0050,Hairyanto Saragih,Male,Corporate,CO-50,Jl. Jakarta No. 901,0876-783157,bwijayanti@yahoo.com,64381,Palangkaraya,Jambi,Indonesia,West,LATAM,PROD-0050,CAT-01,Furniture,SC-09,Furnishings,Furnishings - Id,202.1367745,840.8889819,8,0.48,144.7977964,23.38,Low,2018
51,ORD-2016-0051,20-Sep-16,23-Sep-16,September,Standard Class,CUST-2016-0051,"Lega Laksita, M.TI.",Female,Home Office,CO-51,Jl. Suniaraja No. 0,0873-402218,luhungprabowo@ud.int,76226,Pekalongan,Nusa Tenggara Timur,Indonesia,West,APAC,PROD-0051,CAT-02,Office Supplies,SC-11,Binders,Binders - Aut,56.98049645,321.37,6,0.06,20.354,43.92,High,2016
52,ORD-2020-0052,03-Jun-20,11-Jun-20,June,Same Day,CUST-2020-0052,"Cut Maya Budiyanto, M.M.",Male,Consumer,CO-52,Gang Joyoboyo No. 64,0876-479353,udamanik@perum.net,13696,Mojokerto,Maluku,Indonesia,West,US,PROD-0052,CAT-01,Furniture,SC-02,Tables,Tables - Labore,382.6704145,619.9260714,3,0.46,87.56521429,36.42,High,2020
53,ORD-2016-0053,27-Mar-16,06-Apr-16,April,Second Class,CUST-2016-0053,Victoria Narpati,Male,Corporate,CO-53,Jl. Sentot Alibasa No. 23,0880-114338,kambalinapitupulu@perum.net,77997,Sorong,Maluku Utara,Indonesia,West,APAC,PROD-0053,CAT-01,Furniture,SC-01,Chairs,Chairs - Distinctio,368.0496994,500.5475912,2,0.32,53.13951824,46.97,Low,2016
54,ORD-2020-0054,19-Jun-20,24-Jun-20,June,Same Day,CUST-2020-0054,Jarwadi Handayani,Female,Corporate,CO-54,Jalan Setiabudhi No. 1,0841-578975,chartati@gmail.com,41199,Pangkalpinang,Banten,Indonesia,East,US,PROD-0054,CAT-01,Furniture,SC-02,Tables,Tables - Odio,163.4979969,498.6688905,5,0.39,79.44377809,20.29,Low,2020
55,ORD-2016-0055,19-Dec-16,24-Dec-16,December,Standard Class,CUST-2016-0055,"Drs. Martana Nainggolan, S.Psi",Female,Consumer,CO-55,Jl. Cihampelas No. 518,0867-664742,prayogataufik@perum.desa.id,46659,Sorong,Nusa Tenggara Barat,Indonesia,West,LATAM,PROD-0055,CAT-02,Office Supplies,SC-06,Envelopes,Envelopes - At,213.4702924,730.0684,6,0.43,130.26368,15.75,Critical,2016
56,ORD-2017-0056,09-May-17,16-May-17,May,First Class,CUST-2017-0056,Kalim Wastuti,Female,Home Office,CO-56,Gang Kapten Muslihat No. 2,0870-839485,padmasaritari@gmail.com,46291,Sabang,Papua Barat,Indonesia,West,US,PROD-0056,CAT-03,Technology,SC-08,Accessories,Accessories - Temporibus,478.0713392,449.3870588,1,0.06,69.93741176,19.94,High,2017
57,ORD-2019-0057,04-Nov-19,06-Nov-19,November,Same Day,CUST-2019-0057,Yulia Mahendra,Male,Home Office,CO-57,Gang Asia Afrika No. 42,0828-529893,amalia33@cv.int,59296,Cilegon,Kalimantan Barat,Indonesia,East,APAC,PROD-0057,CAT-02,Office Supplies,SC-04,Art,Art - Voluptate,111.68676,531.6289775,7,0.32,62.9657955,43.36,Critical,2019
58,ORD-2018-0058,27-Oct-18,04-Nov-18,November,First Class,CUST-2018-0058,R. Tantri Farida,Male,Consumer,CO-58,Gang Tebet Barat Dalam No. 3,0890-817644,usman38@gmail.com,73597,Yogyakarta,Lampung,Indonesia,South,EMEA,PROD-0046,CAT-03,Technology,SC-10,Phones,Phones - Modi,225.8771563,280.0876739,2,0.38,46.49753477,9.52,Medium,2018
59,ORD-2018-0059,15-Jul-18,16-Jul-18,July,First Class,CUST-2018-0059,dr. Caraka Pangestu,Female,Consumer,CO-59,Jalan H.J Maemunah No. 58,0847-475876,suryonocaturangga@ud.edu,13750,Banjarbaru,Riau,Indonesia,South,US,PROD-0005,CAT-01,Furniture,SC-02,Tables,Tables - Provident,126.3842803,834.13625,10,0.34,153.94725,12.88,Critical,2018
60,ORD-2020-0060,25-May-20,29-May-20,May,Same Day,CUST-2020-0060,Harsana Hutapea,Male,Consumer,CO-60,Jl. Raya Setiabudhi No. 522,0869-768891,warsa27@perum.ac.id,28986,Kotamobagu,Kalimantan Utara,Indonesia,South,US,PROD-0058,CAT-02,Office Supplies,SC-11,Binders,Binders - Incidunt,302.020389,1328.889711,8,0.45,253.6679423,12.11,Critical,2020
61,ORD-2018-0061,17-Feb-18,27-Feb-18,February,Standard Class,CUST-2018-0061,Digdaya Andriani,Female,Home Office,CO-61,Jl. Yos Sudarso No. 8,0842-579027,edwardsiregar@pt.sch.id,21851,Meulaboh,Sulawesi Utara,Indonesia,South,EMEA,PROD-0059,CAT-02,Office Supplies,SC-06,Envelopes,Envelopes - Aperiam,266.5138404,1324.573787,7,0.29,215.2447573,49.67,Low,2018
62,ORD-2016-0062,03-Sep-16,10-Sep-16,September,Standard Class,CUST-2016-0062,Kasiyah Ramadan,Male,Home Office,CO-62,Jalan Sentot Alibasa No. 195,0897-916118,thamrinhamima@cv.gov,17043,Dumai,Banten,Indonesia,Central,US,PROD-0060,CAT-02,Office Supplies,SC-12,Paper,Paper - Ipsam,148.2916449,791.8773836,6,0.11,142.0954767,16.28,Medium,2016
63,ORD-2016-0063,28-Dec-16,29-Dec-16,December,Standard Class,CUST-2016-0063,Oliva Widodo,Female,Consumer,CO-63,Jalan H.J Maemunah No. 450,0884-482584,drajat56@yahoo.com,65277,Pematangsiantar,Kepulauan Riau,Indonesia,East,APAC,PROD-0061,CAT-02,Office Supplies,SC-04,Art,Art - Blanditiis,277.7814815,750.01,3,0.1,105.562,44.44,Low,2016
64,ORD-2020-0064,09-Oct-20,18-Oct-20,October,Standard Class,CUST-2020-0064,Cindy Astuti,Male,Corporate,CO-64,Gang Dr. Djunjunan No. 544,0871-945664,smarbun@yahoo.com,70596,Subulussalam,Bengkulu,Indonesia,South,LATAM,PROD-0062,CAT-01,Furniture,SC-09,Furnishings,Furnishings - Autem,513.5787436,955.256463,3,0.38,155.6212926,35.43,Critical,2020
65,ORD-2020-0065,17-Sep-20,23-Sep-20,September,First Class,CUST-2020-0065,"Halim Utama, M.TI.",Female,Consumer,CO-65,Jl. Rungkut Industri No. 7,0843-662636,cahyantoprakasa@ud.web.id,75571,Pontianak,Papua,Indonesia,Central,US,PROD-0063,CAT-02,Office Supplies,SC-04,Art,Art - Nam,103.2824561,588.71,6,0.05,111.612,6.13,Low,2020
